Species,Spider,Location,Colour,Hue (°),Saturation,y,x,Collected
Nephila,NpBW2,Broadwater,white/yellow,70.09254728,0.271675267,0.092505932,0.255440997,January
Nephila,NpBW3,Broadwater,white/yellow,71.75189464,0.267848417,0.083872018,0.254378182,January
Nephila,NpSY1,Sydney,white/yellow,67.9218996,0.234733398,0.088229265,0.217520953,January
Nephila,NpSY2,Sydney,yellow,50.1649302,0.366796618,0.234962516,0.281660034,January
Phenognatha,PgBW1,Broadwater,white,52.79433251,0.025585991,0.015471283,0.020378477,January
Phenognatha,PgOB1,Old Bar,white,59.32542065,0.052027429,0.026542385,0.044747683,January
Phenognatha,PgOB2,Old Bar,white,48.82459325,0.169813608,0.11179958,0.127818291,January
Phenognatha,PgOB3,Old Bar,white,64.94161361,0.078717933,0.03334032,0.071308738,January
Phenognatha,PgOB4,Old Bar,white,57.53544937,0.050216107,0.026954886,0.042368521,January
Phenognatha,PgSY1,Sydney,white,45.37998015,0.033567805,0.023578087,0.023892915,January
Phenognatha,PgSY2,Sydney,yellow,62.57335677,0.339186128,0.156233398,0.301062045,January
Phenognatha,PgSY3,Sydney,white,55.34334125,0.0276005,0.01569523,0.022703466,January
Phenognatha,PgSY4,Sydney,white,101.4092986,0.104294016,-0.02063107,0.102233071,January
Phenognatha,PgSY5,Sydney,white,301.6887247,0.013309724,0.006991654,-0.011325437,January
Argiope,AkBW4,Broadwater,white,17.85241411,0.009463065,0.009007412,0.002901056,April
Argiope,AkBW4,Broadwater,yellow,50.67543,0.409892964,0.25975436,0.317080297,April
Argiope,AkBW15,Broadwater,white/yellow,63.08711201,0.244400463,0.110624276,0.217930851,April
Argiope,AkBW17,Broadwater,white,69.07995929,0.116821582,0.041712868,0.109120661,April
Eriophera,EtBW7,Broadwater,white,72.99922261,0.015943606,0.004661666,0.015246883,April
Eriophera,EtBW19,Broadwater,white,324.3733181,0.020671088,0.016802072,-0.012040941,April
Nephila,NpBW1,Broadwater,white/yellow,63.76648292,0.255105214,0.112764326,0.228829362,April
Nephila,NpBW4,Broadwater,white,47.91221673,0.115244215,0.077244555,0.085524896,April
Nephila,NpBW4,Broadwater,yellow,39.60059195,0.473014813,0.364461062,0.301514755,April
Nephila,NpBW7,Broadwater,white/yellow,60.43318558,0.316013825,0.155933285,0.274862781,April
Nephila,NpBW11,Broadwater,yellow,39.39918261,0.442075258,0.341610397,0.280593782,April
Nephila,NpBW12,Broadwater,white,63.78499894,0.251535945,0.111113678,0.225663648,April
Nephila,NpBW13,Broadwater,white,107.3089976,0.047802015,-0.014222285,0.045637257,April
Phenognatha,PgBW8,Broadwater,white,269.1614659,0.068403483,-0.001001062,-0.068396157,April
Phenognatha,PgBW9,Broadwater,white,,,,,April
Phenognatha,PgBW10,Broadwater,white,100.8397007,0.061384361,-0.01154406,0.060289091,April
